"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1624001406763171841","Fri Feb 10 11:04:42 +0000 2023","0","tas pvc murah meriah! Buat konser tds2 bisa cek disini yaa ini udah aku pake 5x dari penukaran tiket &amp; konser the link day 1-2. Awetttt!! 20.000 &gt;&gt; https://t.co/0tNG2G1yZB #THEDREAMSHOW2_in_Jakarta https://t.co/twKS7tIsGU","1624001406763171841","https://pbs.twimg.com/media/Fomcq2VaUAQLL6K.jpg","","in","99´ ","1","1","0","https://x.com/Jenjaeminrin/status/1624001406763171841","1376733625","Jenjaeminrin"
"1645145778732810241","Sun Apr 09 19:24:53 +0000 2023","0","ilichil killing voice menjadi saksi bisu skripsian gue sih dan ngingetin konser the link in jakarta ️️️️","1645145778732810241","","","in","Moon Taeil","0","0","0","https://x.com/taeilsfiance/status/1645145778732810241","1014827497525948416","taeilsfiance"
"1655734228276113408","Tue May 09 00:39:36 +0000 2023","6","Sebagai alumni penonton konser EP 5 In Jakarta jujur ya menurutku Dyandra itu bener2 belajar untuk memperbaiki diri. Waktu EP5 gak ada yg namanya antrian gate khusus penonton yg sebagus The Link dan TDS pas mau masuk venue tuh ngantri berjam-jam di luar gak ada yg namanya","1655734228276113408","","","in","","1","1","2","https://x.com/dearmyd4y12/status/1655734228276113408","1629412422216982529","dearmyd4y12"
"1632273703009681408","Sun Mar 05 06:55:51 +0000 2023","0","Kata gua mah kemarin konser NCT 127 The Link in Jakarta tuh dikutuk dah","1632273703009681408","","","in","Seoul, Republic of Korea","1","0","0","https://x.com/chicagocaffeine/status/1632273703009681408","1433278274726084614","chicagocaffeine"
"1643422103109251073","Wed Apr 05 01:15:37 +0000 2023","2","Buat yang nanya WayV kendaraannya pake apa kita pake BigBus yang sama kayak pas TDS + The Link! Full AC full musik ada port charger kursi mantep aduuu tunggu apa lagi???? #WayV #WayV_Phantom_in_JAKARTA #WayV_FanmeetingTour #WayV_Phantom #trip #tripbogor #tripkonser","1643422103109251073","","","in","Bogor - Jakarta","0","1","0","https://x.com/ConcertMateID/status/1643422103109251073","4741405790","ConcertMateID"
"1632925624267579392","Tue Mar 07 02:06:21 +0000 2023","0","Terus konser besar kedua adalah THE LINK IN JAKARTA 2022. Huhuhu kadang masih nangis sampe skrg soalnya momennya seindah itu Tiketnya war sendiri juga dapet day 2 cat 3B apakah ada warga day 2 cat 3B juga yang melihat twit ini?","1632925624267579392","","","in","","0","0","0","https://x.com/__mochibee__/status/1632925624267579392","1632681964514979841","__mochibee__"
"1632195155372670976","Sun Mar 05 01:43:44 +0000 2023","0","The dream show 2 in jakarta konser pertama gua gua jadi kpopers thn 2009/2010 which is umur gua masih 9/10 tahun (btw I have the same birthday with my love renjun). Sbnrnya gua deg2an day1 karena ngeliat konser the link tahun lalu yg ricuh pas day1 but see .","1632195155372670976","","","in","","0","1","0","https://x.com/hanactzen/status/1632195155372670976","1289494269103714304","hanactzen"
"1576861831305449475","Mon Mar 20 18:20:15 +0000 2023","0","Update wishlist : 1. 1 year membership di ZAP 2. Nonton konser NCT 127 THE LINK in JAKARTA 3. Pulang konser NCT DREAM THE DREAM SHOW 2 - In A Dream ALHAMDULILLAH BAHAGIA 4. MENIKAH‼️","1637881756471951360","","dikanurkistin","in","🩵🐯🎸🍉🌷👽🍳🏀🌱","0","0","0","https://x.com/dikanurkistin/status/1637881756471951360","1332608701018955777","dikanurkistin"
"1658320491453767681","Tue May 16 03:56:29 +0000 2023","0","OPEN JASTIP TXT ACT: SWEET MIRAGE IN JAKARTA 2023 GEN SALES fee 300k 8 ticket only Grup Jastip Di urus sampe tiket fisik Book slot 25k tnc lebih lanjut by dm. Udah berpengalaman war in tiket wings tour bets sept des tds2 BP the link maniac agustd","1658320491453767681","","","in","Indonesia","2","1","0","https://x.com/nitipyeogi/status/1658320491453767681","1658270262549446657","nitipyeogi"
"1632241272600637442","Sun Mar 05 04:46:59 +0000 2023","0","Terima kasih NCT Dream untuk konsernya dan terima kasih sijeuni day 1 karena kita tertib dan kompak. Sebagai korban the link day 1 (konser pertama aku) jadi takut banget kalau tiba dibubarin lagi. #THEDREAMSHOW2_in_JAKARTA","1632241272600637442","","","in","","0","0","0","https://x.com/czlsshiniumeku7/status/1632241272600637442","1289186650052898818","czlsshiniumeku7"
